NazRudy ; 380665456478
#Инженер по экологии Ганус Сергей Сергеевич ;34-35
#ПРУП приёмная, бухгалтерия ;34-36
#Пустой ;34-37
#ПТК 31 отметка погрузочный бункер ;34-38
#Лесной склад общий телефон, комната отдыха ;34-39
#Пустой ;34-40
#Охрана гаража ;34-41
#Главный технолог ;34-42
#ЮТС околоток ;34-43
#Нарядная клетьевого ствола ;34-44
#Дежурные слесаря калориферной воздухоподающего ствола ;34-45
#Физкабинет ;34-46
#ПРУП заместитель председателя, приёмная ;34-47
#Отдел сбыта общий телефон ;34-48
#Лебёдка скипового ствола ;34-49
#Пустой ;34-50
#Киоск в АБК ;34-51
#0-я отметка ;34-52
#Баня 2-го этажа ;34-53
#Метизный цех ;34-54
#Бухгалтерия столовой ;34-55
#Охрана, центральная проходная;34-56
#НПГ заместитель председателя ;34-57
#Пустой ;34-58
#Участок СРГВ ;34-59
#НПГ бухгалтерия ;34-60
#Центральная проходная ;34-61
#Архив ;34-62
#Начальник УПС Лободин Евгений Викторович ;34-63, кор.шлюз-28
#НПГ приёмная ;34-64
#Склад тяжелого оборудования, грузчики ;34-65
#Ремонт светильников ;34-66
#Пустой ;34-67
#Водоотлив кайбаш ;34-68
#Воздухоподающий ствол нарядная ;34-69
#РЗО, пресс на поверхности ;34-70
#Лаборатория ОТК общий ;34-71
#ПАЗ кайбаш агз ;34-72
#Участок ГМУ(МДГО) ;34-73
#14-я отметка скипового ствола, 22 отметка, 8-й конвейер ;34-74
#ПТК перегрузочная станция(72 отметка) ;34-75
#Кайбаш УКТ ;34-76
#Финансовый отдел общий телефон ;34-77
#Пустой ;34-78
#Выдача спецодежды из стирки ;34-79
#ПТК 48 отметка бункер ;34-80
#Механик АБК Аносов Александр Васильевич ;34-81
#Пустой ;34-82
#Цех мехцеха ;34-83
#Кайбаш уборщиц ;34-84
#РЗО крановщики ;34-85
#Пустой ;34-86
#Библиотека, музей ;34-87
#Ведущий инженер по информационно-аналитическому обеспечению Василец Людмила Александровна ;34-88
#Мехцех слесаря ;34-89
#ПАЗ УТАС склад ;34-90
#Кайбаш ВШТ БАМ ;34-91
#Насосная фекальная ;34-92
#ПТК погрузка вагонов ;34-93
#ВЦ АСУ мащинный зал ;34-94
#Выдача респираторов ;34-95
#Пустой ;34-96
#ЮТС начальник ЭМО ;34-97
#Машбюро ;34-98
#Киоск в новом АБК ;34-99
#ПАЗ УТАС механик Перетятько Александр Васильевич ;35-00
#Зам. директора по производству Буряк Марк Александрович ;35-01, кор.шлюз-44
#Мастер АБК Мокрая Ирина Петровна ;35-02
#Заведующая медпунктом Садовская Ирина Вадимовна ;35-03
#Пустой ;35-04
#ПАЗ ТКУ ;35-05
#Механик вентиляционный ствола Волчок Александр Анатольевич ;35-06
#Телетайп ;35-07
#Бюро ремонта, кросс ;35-08
#Контрольный абонент ;35-09
#Комната водителей директора ;35-10
#РЗО калориферная ;35-11
#Заместитель главного бухгалтера по налоговому учёту Галий Нелля Васильевна ;35-12
#Механик электровозного гаража поверхности ;35-13
#Cлесаря компрессорной ;35-14
#Техническая нарядная ;35-15
#Инженер по рационализации ;35-16
#Отдел кадров общий телефон ;35-17
#Мастерская подземных связистов ;35-18
#Начальник планового отдела Бобрицкая Наталья Григорьевна ;35-19
#Начальник материальной бухгалтерии Гапешина Валентина Анатольевна ;35-20
#Ламповая ;35-21
#Очистные ;35-22
#Заместитель директора по материальному обеспечению ;35-23
#Заместитель директора по сбыту и материально-техническому снабжению Кубышкин Андрей Юрьевич ;35-24, кор.шлюз-65
#Электровозный гараж поверхности (кайбаш) ;35-25
#Начальник УКТ Хижняк Александр Иванович ;35-26
#Участок №1 ;35-27
#Пустой ;35-28
#Выписка бытового угля Баскакова Ольга ; 35-29
#Нарядная котельной ;35-30
#Cектор сметно-договорной Тищенко Татьяна Александровна ;35-31
#Материальная бухгалтерия ;35-32
#ПАЗ УТАС слесарка ;35-33
#Водоотлив нарядная ;35-34
#Насосная ;35-35
#Начальник ВШТ Сидоренко Максим Викторович ;35-36
#Насосная вентиляционного ствола ;35-37
#Служба главного технолога общий телефон ;35-38
#Заместитель директора по социальным хозяйственным вопросам Приходько Наталья Григорьевна ;35-39 кор.шлюз-24
#Маркшейдерский отдел общий ;35-40
#Баня ИТР ;35-41
#Мастер ламповой Сысоева Ирина Николаевна ;35-42
#Начальник УПР №1 Потеряйко Николай Владимирович ; 35-43, кор.шлюз-35
#Инспектор по отпускам ;35-44
#Мастер лесного склада ;35-45
#ЮТС бухгалтерия ;35-46
#Начальник АТУ Брыков Владимир Иванович ;35-47, кор.шлюз-63
#ЮТС директор ;35-48
#Комната отдыха начальника смены ;35-49
#ЮТС дежурный по станции ;35-50
#ЮТС заместитель директора по экономике ;35-51
#Слесаря скипового ствола (18 отметка) ;35-52
#ЮТС охрана ;35-53
#Вентилятор вентиляционного ствола ;35-54
#Cтоловая кухня ;35-55
#ОТИЗ ;35-56
#НПГ председатель Даценко Григорий Игнатьевич ;35-57, кор.шлюз-49
#ЮТС начальник станции ;35-58
#Заведующий лабораторией ОТК Ивашко Наталья Владимировна ;35-59
#Склад тяжёлого оборудования ;35-60
#Гл. бухгалтер Шуракова Наталья Александровна ;35-61, кор.шлюз-15
#Бадьевый подъём воздухоподающего ствола ;35-62
#Тендерный Лобацевич Евгений Данилович ;35-63
#УПР №2 начальник Антонов Константин Юрьевич ;35-64, кор.шлюз-20
#Зам. гл. бухгалтера Светова Ольга Григорьевна ;35-65
#Вентиляционный ствол нарядная ;35-66
#Механик ДСО ;35-67
#Лесная проходная ;35-68
#Пустой ;35-69
#Начальник котельной Селюков Сергей Алексеевич ;35-70, кор.шлюз-31
#ЮТС дежурный по переезду ;35-71
#ЮТС экипировщик ;35-72
#ЮТС инженер-энергетик ;35-73
#Пустой ;35-74
#Учебный пункт общий телефон ;35-75
#Пустой ;35-76
#Профессионал по коррупции ;35-77
#Начальник лесного склада Жук Людмила Викторовна ;35-78, кор.шлюз-47
#ЮТС приёмосдатчик южнодонбасская номер один ;35-79
#Плановый отдел общий ;35-80
#Начальник ПРпоТБ Пономаренко Ростислав Александрович ;35-81
#Пустой ;35-82
#Юридический отдел Карабань Лада Олеговна ;35-83
#ПАЗ УТАС оператор ;35-84
#ЮТС углесборочная ;35-85
#Химическая лаборатория котельной ;35-86
#Пустой ;35-87
#ЮТС начальник участка ЭМО и СЦБ ;35-88
#Участок ПРпоТБ ;35-89
#Прачечная, ремонт одежды ;35-90
#Погрузка угля населению ;35-91
#ПАЗ УТАС мастерская ;35-92
#Баня директора ;35-93
#Нарядная БВР ;35-94
#Кабинет горнотехнического инспектора ;35-95
#ЮТС старший механик связи ;35-96
#ЮТС главный инженер ;35-97
#ВЦ АСУ общий телефон ;35-98
#Вакуумнасосная ;35-99
#Пустой ;36-00
#Плотницкий цех ;36-01
#Пустой ;36-02
#Пустой ;36-03
#Пустой ;36-04
#Пустой ;36-05
#Пустой ;36-06
#Пустой ;36-07
#Пустой ;36-08
#Пустой ;36-09
#Шлюз №1 ;36-10 (067-694-00-15)
#Пустой ;36-11
#Пустой ;36-12
#Пустой ;36-13
#Пустой ;36-14
#Пустой ;36-15
#Пустой ;36-16
#Пустой ;36-17
#5-я с.л. ЦАТС ;36-18 Coral(6611)
#Пустой ;36-19
#РЗО гидравлика ;36-20
#Пустой ;36-21
#Пустой ;36-22
#Пустой ;36-23
#Пустой ;36-24
#Пустой ;36-25
#Пустой ;36-26
#Пустой ;36-27
#Пустой ;36-28
#Пустой ;36-29
#Пустой ;36-30
#Пустой ;36-31
#Пустой ;36-32
#Пустой ;36-33
#Пустой ;36-34
#Пустой ;36-35
#Пустой ;36-36
#Пустой ;36-37
#Пустой ;36-38
#Пустой ;36-39
#Пустой ;36-40
#Пустой ;36-41
#Пустой ;36-42
#Пустой ;36-43
#Пустой ;36-44
#Пустой ;36-45
#Пустой ;36-46
#Бадьевый подъём вентиляционного ствола ;36-47
#Пустой ;36-48
#8-я с.л. ЦАТС ;36-49 Coral(6631)
#Пустой ;36-50
#Пустой ;36-51
#Пустой ;36-52
#Пустой ;36-53
#Пустой ;36-54
#Пустой ;36-55
#Пустой ;36-56
#Пустой ;36-57
#Пустой ;36-58
#Пустой ;36-59
#Пустой ;36-60
#Пустой ;36-61
#Пустой ;36-62
#Пустой ;36-63
#Пустой ;36-64
#Пустой ;36-65
#Пустой ;36-66
#Пустой ;36-67
#Пустой ;36-68
#Пустой ;36-69
#Пустой ;36-70
#Пустой ;36-71
#Пустой ;36-72
#Пустой ;36-73
#Пустой ;36-74
#Пустой ;36-75
#Пустой ;36-76
#Пустой ;36-77
#Пустой ;36-78
#Пустой ;36-79
#Пустой ;36-80
#Пустой ;36-81
#Пустой ;36-82
#Пустой ;36-83
#Модем СТМ-256х ;36-84
#Пустой ;36-85
#Пустой ;36-86
#Пустой ;36-87
#Пустой ;36-88
#Пустой ;36-89
#Пустой ;36-90
#Пустой ;36-91
#Пустой ;36-92
#Пустой ;36-93
#Пустой ;36-94
#Пустой ;36-95
#Пустой ;36-96
#Пустой ;36-97
#Пустой ;36-98
#Пустой ;36-99
#Пустой ;37-00
#Пустой ;37-01
#Радиотелефон ВГСЧ ;37-02
#Подземный медпункт ;37-03
#Рукоятка воздухоподающего ствола ;37-04, ШТСИ бит №1
#Электровозный гараж 624г. и заряд аккум. ;37-05, ШТСИ бит №13
#СРГВ подрывка 19лава(конв.выр-ка), 16 пикет ;37-06
#Пустой ;37-07
#13 сбойка ;37-08
#Угольная яма верх ;37-09
#Питатель ЗПВКШ 1 ;37-10
#Пустой ;37-11
#Пустой ;37-12
#ЦПП г.624м. ;37-13
#Рукоятка вентиляционного ствола ;37-14, ШТСИ бит №10
#6-я блочная лента ;37-15
#20 лава бункер ;37-16
#УПР№1 подрывка ;37-17
#Водосборник г.824м. ;37-18
#Пустой ;37-19
#ЗПВКШ для 19лавы (сбрасывающий) ;37-20
#15лава верх сопряжение, Гончар ;37-21
#1 лента НКХ 15 лавы ;37-22
#Пустой ;37-23
#ЦПП г.824м. ;37-24, ШТСИ бит №9
#Стволовой воздухоподающего ствола ;37-25, ШТСИ бит №11
#18 лава верх ;37-26
#3 лента ЗПВКШ натяжная, перекрепление ;37-27
#Горный диспетчер ;37-28
#РПП6 №7 ;37-29
#Магистральная лента №1 ;37-30
#Магистральная лента №2 ;37-31
#Пустой ;37-32
#18лава 1 лента ;37-33
#Вакуумнасосная ;37-34
#1-я лента С11, питатель восток-запад низ ;37-35
#УКТ магистральная лента №3 ;37-36
#26п. лебёдка (20 лава) ;37-37
#2-я лента КПП ;37-38
#4-я С11 натяжная, питатель ;37-39
#АСУ отметка;37-40
#Стволовой 824г. ;37-41, ШТСИ бит №5
#ВКПШ 824г.(3-я блочная лента питатель) ;37-42
