NazRudy ; 380665456478 
#орзо Мирзо rst.ua комбайновый цех ;3906 
#орзо Мирзо rst.ua гидравлика цех гидравлики ;3620 3380 
#орзо Мирзо rst.ua калориферная ;3511 
#орзо Мирзо rst.ua крановщики ;3485 
#орзо Мирзо rst.ua Василенко Виктор Владимирович ;короткий 39 
#руководство Шахты приёмная приемная директора ;3300 3343 
#руководство Шахты главный инженер соком сакун sakun соколан Александр Сергеевич ;3390 короткий 77 
#руководство Шахты заместитель зам директора замдиректора по экономическим вопросам главный экономист экономике волощенко Оксана Вадимовна ;3370 короткий 21 
#руководство Шахты заместитель зам директора замдиректора по соц и хоз вопросам социальным хозяйственным Приходько Наталья Григорьевна ;3539 короткий 24 
#коммутатор шахты южнодонбасская номер один 1 ;6 40 08 6 1 01 4 
#выход выйти на угледар ;9 6 x 
#выход на шахту имени сургая из угледар угледара ;6 x 
#выход в угледар город по межгороду ;06 273 6 x 
#индекс индексы мобильного мобильный оператора оператор Киевстар ;067 096 097 098 068 039 
#индекс индексы мобильного мобильный оператора оператор Vodafone ;050 066 099 095 
#индекс индексы мобильного мобильный оператора оператор Лайф Life ;063 093 073 
#индекс индексы мобильного мобильный оператора оператор ютел утэл утаил ;091 
#индекс индексы мобильного мобильный оператора оператор пиплнет PEOPLEnet ;092 
#индекс индексы мобильного мобильный оператора оператор Интертелеком intertelecom ;094 
#индекс индексы компьютерных компьютерные номера номеров ;089 
#индекс индексы виртуальных виртуальные номера номеров ;070 080 090 
#главный механик Кошелев Андрей Васильевич ;3366 короткий 78 
#главный механик Кошелев Андрей Васильевич квартира квартирный домашний ;3367 
#главный Энергетик Пилипенко Алексей Владимирович ;3320 короткий 16 
#заместитель зам главного энергетика Сотников Роман Вадимович ;3320 короткий 56 
#руководство Шахты зам заместитель директора замдиректора по сбыту и материально техническому материально-техническому снабжению Кубышкин Андрей Юрьевич ;3524 короткий 65 
#ведущий инженер по информационно-аналитическому обеспечению василец Людмила Александровна ;3488 
#старший инженер по трудовой дисциплине нудьга Ирина Владимировна ;3315 
#помошник директора по правовым вопросам Карабань Виталий Александрович ;3377 короткий 76 
#TB т.б. Антонюк Евгений Петрович ;короткий 10 
#электроцех электротех ;3927 3358 
#РПП шесть 6 номер семь 7 ;3729 
#подстанция электроподстанция ;3327 
#Юж юш трансстрой транс строй ютс приемосдатчик приёмосдатчик МПС MPS ютс ;3351 
#Юж юш трансстрой транс строй ютс отдел маркетинга ;3359 
#Юж юш трансстрой транс строй ютс околоток около так ;3443 
#Юж юш трансстрой транс строй ютс начальник эмо емо м.о. примо прямо ;3497 
#Юж юш трансстрой транс строй ютс бухгалтерия ;3546 
#Юж юш трансстрой транс строй ютс директор ;3548 
#Юж юш трансстрой транс строй ютс жежурный подстанции по станции ;3550 
#Юж юш трансстрой транс строй ютс зам заместитель директора по экономике ;3551 
#Юж юш трансстрой транс строй ютс охрана ;3553 
#Юж юш трансстрой транс строй ютс начальник станции ;3558 
#Юж юш трансстрой транс строй ютс дежурный Дежурный по переезду ;3571 
#Юж юш трансстрой транс строй ютс экиперовщик экипировщик ;3572 
#Юж юш трансстрой транс строй ютс инженер-энергетик инженер энергетик ;3573 
#Юж юш трансстрой транс строй ютс приемосдатчик приёмосдатчик ut1 u21 южнодонбасская номер один 1 ;3579 
#Юж юш трансстрой транс строй ютс угли сборочная ugly ;3585 
#Юж юш трансстрой транс строй ютс начальник участка эмо Эмма имо и сцб СТБ scb ;3588 
#Юж юш трансстрой транс строй ютс старший механик связи ;3596 
#Юж юш трансстрой транс строй ютс главный инженер ;3697 
#проверяющие четвёртый четвертый этаж ;3362 
#служба главного механика инженер ппр и паспортист паспортистка ;3381 
#прочие службы архив ;3462 
#прочие службы библиотека музей ;3487 
#модем ;3685 
#квартира квартирный домашний по па школа ;3801 
#квартира квартирный домашний Синицына синицыно Кириченко ;3808 
#квартира квартирный домашний Антипенко ;3814 
#квартира квартирный домашний кривсун кревсун ;3821 
#квартира квартирный домашний Рябко тряпко Репка ;3822 
#квартира квартирный домашний фишка Тишка fishka ;3823 
#квартира квартирный домашний михневич ЖЖ мачинский матчинский ;3824 
#квартира квартирный домашний Прокопенко Шаманский ;3828 
#квартира квартирный домашний якуша Я кушаю yakusha ;3829 
#квартира квартирный домашний едадил не доделал недодел суменко шуменко ;3830 
#квартира квартирный домашний Наконечный наконечной на конечной ;3835 
#квартира квартирный домашний король Кароль ;3836 
#квартира квартирный домашний Бондарь базаре базари ;3837 
#квартира квартирный домашний Гончар ;3838 
#квартира квартирный домашний теряник пряник ;3839 
#квартира квартирный домашний Корниенко ;3840 
#квартира квартирный домашний Струков строков ;3843 
#квартира квартирный домашний канцедал канцедалов кривич Гринвич ;3845 
#квартира квартирный домашний казмин козамин казумин ;3847 
#квартира квартирный домашний Гончаров ;3855 
#квартира квартирный домашний Кравченко лёвочкин Левочкин ;3856 
#квартира квартирный домашний стрига striga галушкин ;3857 
#квартира квартирный домашний фасхутдинов Фасхутдинов Гончаров ;3859 
#квартира квартирный домашний Давыденко Давиденко ;3860 
#квартира квартирный домашний шапочка енен Йемен инин ;3867 
#квартира квартирный домашний тапала попала topala ;3870 
#квартира квартирный домашний Пономаренко ;3872 
#квартира квартирный домашний Родин раден радин бузанова Бузова Буланова ;3876 
#квартира квартирный домашний гладчук ;3877 
#квартира квартирный домашний Ковальчук вербовская Свердловская ;3879 
#квартира квартирный домашний венцовская Псковская вьюн коротких ;3881 
#квартира квартирный домашний Ковалев Ковалёв ;3885 
#квартира квартирный домашний кисиленко киселенко ;3887 
#квартира квартирный домашний Лысенко лысенка ;3890 
#квартира квартирный домашний Чередниченко жовниренко ;3896 
#Привет Здравствуй Здравствуйте ;  
#с**** с*** ты блять б**** ; 
#а если я тебя выключу удалю уничтожу ; 
